description,name,privilege_id,code,app_id,effective_start_date,effective_end_date
Allows deleting sales business plans.,Delete Sales Business Plan,300000139140915,ZCA_DELETE_SALES_BUS_PLN_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows update of tax profiles that contain tax information that relate to a third party's transaction tax activities.,Update Third Party Tax Profile,300000139140938,ZX_UPDATE_THIRD_PARTY_TAX_PROFILE_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows initiating the process of restoring territory definitions.,Run Territory Restore Job,300000139141027,MOT_RUN_TERRITORY_RESTORE_JOB_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows management of benefit defined formulas.,Manage Benefit Defined Formulas,300000139141049,BEN_MANAGE_DEFINED_BENEFIT_FORMULAS_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows users to finalize the negotiation award process.,Complete Supplier Negotiation Award,300000139141074,PON_COMPLETE_SUPPLIER_NEGOTIATION_AWARD_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Review revenue documents and revenue reversal documents.,Review Revenue Documents,300000139141122,VRM_REVIEW_REVENUE_DOCUMENT_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows viewing of tax classifications used by a tax authority to categorize a document associated with a transaction for a tax and is applicable in the tax determination and tax reporting processes.,View Document Fiscal Classification Code,300000139141143,ZX_VIEW_DOCUMENT_FISCAL_CLASSIFICATION_CODE_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
"Allows the specification of hierarchy labels, such as global and subsidiary, used for hierarchy tree display.",Manage Trading Community Hierarchy Type,300000139140916,HZ_MANAGE_TRADING_COMMUNITY_HIERARCHY_TYPE_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
,View Trading Community Organization Address Use,300000139140961,HZ_VIEW_TRADING_COMMUNITY_ORGANIZATION_ADDRESS_USE_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows updating of sales party task data.,Update Sales Party Task,300000139141005,ZCM_UPDATE_SALES_PARTY_TASK_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows access to orchestration generic web services.,Manage Orchestration Generic Web Service,300000139141050,DOO_MANAGE_ORCHESTRATION_GENERIC_WEB_SERVICE_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
Allows access to manage attribute controls on item operational attributes.,Manage Item Attribute Control,300000139141099,EGP_MANAGE_ITEM_ATTRIBUTE_CONTROL_PRIV,0,1970-01-01T00:00:00.000+00:00,2025-03-13T05:01:36.000+00:00
